,id,original_language_cat,popularity_cat,runtime_cat,status,vote_average,genres,original_language,original_title,popularity,runtime,spoken_languages,title,vote_count,cluster
13,57201,en,High,Long,Released,5.9,Action Adventure Western,en,The Lone Ranger,49.046956,149.0,en,The Lone Ranger,2311,3
14,49521,en,High,Long,Released,6.5,Action Adventure Fantasy Science Fiction,en,Man of Steel,99.398009,143.0,en,Man of Steel,6359,3
15,2454,en,High,Long,Released,6.3,Adventure Family Fantasy,en,The Chronicles of Narnia: Prince Caspian,53.978602,150.0,en,The Chronicles of Narnia: Prince Caspian,1630,0
16,24428,en,High,Long,Released,7.4,Science Fiction Action Adventure,en,The Avengers,144.448633,143.0,en,The Avengers,11776,0
17,1865,en,High,Long,Released,6.4,Adventure Action Fantasy,en,Pirates of the Caribbean: On Stranger Tides,135.413856,136.0,"en,es",Pirates of the Caribbean: On Stranger Tides,4948,0
18,41154,en,High,Medium,Released,6.2,Action Comedy Science Fiction,en,Men in Black 3,52.035179,106.0,en,Men in Black 3,4160,3
19,122917,en,High,Long,Released,7.1,Action Adventure Fantasy,en,The Hobbit: The Battle of the Five Armies,120.965743,144.0,en,The Hobbit: The Battle of the Five Armies,4760,2
20,1930,en,High,Long,Released,6.5,Action Adventure Fantasy,en,The Amazing Spider-Man,89.866276,136.0,en,The Amazing Spider-Man,6586,0
21,20662,en,High,Long,Released,6.2,Action Adventure,en,Robin Hood,37.668301,140.0,"en,th",Robin Hood,1398,0
22,57158,en,High,Long,Released,7.6,Adventure Fantasy,en,The Hobbit: The Desolation of Smaug,94.370564,161.0,en,The Hobbit: The Desolation of Smaug,4524,3
23,2268,en,High,Medium,Released,5.8,Adventure Fantasy,en,The Golden Compass,42.990906,113.0,"is,en,ru,fr",The Golden Compass,1303,0
24,254,en,High,Long,Released,6.6,Adventure Drama Action,en,King Kong,61.22601,187.0,en,King Kong,2337,0
25,597,en,High,Long,Released,7.5,Drama Romance Thriller,en,Titanic,100.025899,194.0,"en,fr,de,sv,it,ru",Titanic,7562,0
26,271110,en,High,Long,Released,7.1,Adventure Action Science Fiction,en,Captain America: Civil War,198.372395,147.0,"ro,en,de,ru",Captain America: Civil War,7241,4
27,44833,en,High,Long,Released,5.5,Thriller Action Adventure Science Fiction,en,Battleship,64.928382,131.0,"en,th",Battleship,2114,3
28,135397,en,High,Long,Released,6.5,Action Adventure Science Fiction Thriller,en,Jurassic World,418.708552,124.0,en,Jurassic World,8662,2
29,37724,en,High,Long,Released,6.9,Action Adventure Thriller,en,Skyfall,93.004993,143.0,en,Skyfall,7604,3
30,558,en,High,Long,Released,6.7,Action Adventure Fantasy,en,Spider-Man 2,35.149586,127.0,"en,ru,zh",Spider-Man 2,4321,0
31,68721,en,High,Long,Released,6.8,Action Adventure Science Fiction,en,Iron Man 3,77.68208,130.0,en,Iron Man 3,8806,3
32,12155,en,High,Medium,Released,6.4,Family Fantasy Adventure,en,Alice in Wonderland,78.530105,108.0,en,Alice in Wonderland,4645,0
33,36668,en,Very Low,Medium,Released,6.3,Adventure Action Science Fiction Thriller,en,X-Men: The Last Stand,3.857526,104.0,en,X-Men: The Last Stand,3525,3
34,62211,en,High,Medium,Released,7.0,Animation Family,en,Monsters University,89.186492,104.0,en,Monsters University,3528,3
35,8373,en,Medium,Long,Released,6.0,Science Fiction Action Adventure,en,Transformers: Revenge of the Fallen,21.939663,150.0,"en,es",Transformers: Revenge of the Fallen,3138,0
36,91314,en,High,Long,Released,5.8,Science Fiction Action Adventure,en,Transformers: Age of Extinction,116.840296,165.0,en,Transformers: Age of Extinction,3095,3
37,68728,en,High,Long,Released,5.7,Fantasy Adventure Family,en,Oz: The Great and Powerful,46.985445,130.0,en,Oz: The Great and Powerful,3530,3
38,102382,en,High,Long,Released,6.5,Action Adventure Fantasy,en,The Amazing Spider-Man 2,89.270217,142.0,en,The Amazing Spider-Man 2,4179,2
39,20526,en,High,Long,Released,6.3,Adventure Action Science Fiction,en,TRON: Legacy,73.79505,125.0,en,TRON: Legacy,2841,0
40,49013,en,High,Medium,Released,5.8,Animation Family Adventure Comedy,en,Cars 2,49.98659,106.0,"en,ja,it,fr",Cars 2,2033,3
41,44912,en,High,Medium,Released,5.1,Adventure Action Thriller Science Fiction,en,Green Lantern,51.872839,114.0,en,Green Lantern,2487,3
42,10193,en,High,Medium,Released,7.6,Animation Family Comedy,en,Toy Story 3,59.99541800000001,103.0,"en,es",Toy Story 3,4597,0
43,534,en,High,Medium,Released,5.9,Action Science Fiction Thriller,en,Terminator Salvation,71.862892,115.0,"en,it",Terminator Salvation,2463,0
44,168259,en,High,Long,Released,7.3,Action,en,Furious 7,102.322217,137.0,en,Furious 7,4176,2
45,72190,en,High,Medium,Released,6.7,Action Drama Horror Science Fiction Thriller,en,World War Z,81.834855,116.0,en,World War Z,5560,3
46,127585,en,High,Long,Released,7.5,Action Adventure Fantasy Science Fiction,en,X-Men: Days of Future Past,118.078691,131.0,en,X-Men: Days of Future Past,6032,2
47,54138,en,High,Long,Released,7.4,Action Adventure Science Fiction,en,Star Trek Into Darkness,78.29101800000002,132.0,en,Star Trek Into Darkness,4418,3
48,81005,en,High,Medium,Released,5.5,Action Family Fantasy,en,Jack the Giant Slayer,43.349855,114.0,en,Jack the Giant Slayer,2598,3
49,64682,en,High,Long,Released,7.3,Drama Romance,en,The Great Gatsby,61.196071,143.0,en,The Great Gatsby,3769,3
50,9543,en,High,Medium,Released,6.2,Adventure Fantasy Action Romance,en,Prince of Persia: The Sands of Time,62.169881,116.0,en,Prince of Persia: The Sands of Time,2317,0
51,68726,en,High,Long,Released,6.7,Action Science Fiction Adventure,en,Pacific Rim,56.523205,131.0,en,Pacific Rim,4794,3
52,38356,en,High,Long,Released,6.1,Action Science Fiction Adventure,en,Transformers: Dark of the Moon,28.529607,154.0,en,Transformers: Dark of the Moon,3299,3
53,217,en,High,Long,Released,5.7,Adventure Action,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,122.0,"en,de,ru",Indiana Jones and the Kingdom of the Crystal Skull,2495,0
54,105864,en,High,Medium,Released,6.6,Adventure Animation Family,en,The Good Dinosaur,51.692953,93.0,en,The Good Dinosaur,1736,2
55,62177,en,High,Medium,Released,6.7,Animation Adventure Comedy Family Action,en,Brave,125.114374,93.0,en,Brave,4641,3
56,188927,en,High,Long,Released,6.6,Action Adventure Science Fiction,en,Star Trek Beyond,65.352913,122.0,en,Star Trek Beyond,2568,4
57,10681,en,High,Medium,Released,7.8,Animation Family,en,WALL·E,66.390712,98.0,en,WALL·E,6296,0
58,5174,en,Medium,Medium,Released,6.1,Action Comedy Crime Thriller,en,Rush Hour 3,22.57178,91.0,"la,en,fr,ja,zh",Rush Hour 3,783,0
59,14161,en,High,Long,Released,5.6,Action Adventure Science Fiction,en,2012,45.274225,158.0,"en,fr,hi,it,la,zh,pt,ru,bo",2012,4903,0
60,17979,en,High,Medium,Released,6.6,Animation Drama,en,A Christmas Carol,39.744242,96.0,en,A Christmas Carol,1095,0
61,76757,en,High,Long,Released,5.2,Science Fiction Fantasy Action Adventure,en,Jupiter Ascending,85.36908000000003,124.0,en,Jupiter Ascending,2768,3
62,258489,en,High,Medium,Released,5.5,Action Adventure,en,The Legend of Tarzan,42.741719,109.0,en,The Legend of Tarzan,2430,4
63,411,en,High,Long,Released,6.7,Adventure Family Fantasy,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,143.0,"en,de","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2629,0
64,246655,en,High,Long,Released,6.4,Science Fiction,en,X-Men: Apocalypse,139.272042,144.0,en,X-Men: Apocalypse,4721,4
65,155,en,High,Long,Released,8.2,Drama Action Crime Thriller,en,The Dark Knight,187.322927,152.0,"en,zh",The Dark Knight,12002,0
66,14160,en,High,Medium,Released,7.7,Animation Comedy Family Adventure,en,Up,92.201962,96.0,en,Up,6870,0
67,15512,en,High,Medium,Released,6.0,Animation Family Adventure Science Fiction,en,Monsters vs Aliens,36.167578000000006,94.0,en,Monsters vs Aliens,1423,0
68,1726,en,High,Long,Released,7.4,Action Science Fiction Adventure,en,Iron Man,120.725053,126.0,"en,fa,ur,ar",Iron Man,8776,0
69,44826,en,High,Long,Released,7.0,Adventure Drama Family,en,Hugo,32.319043,126.0,en,Hugo,2141,3
70,8487,en,High,Medium,Released,5.1,Action Adventure Comedy Science Fiction Western,en,Wild Wild West,40.748915,106.0,en,Wild Wild West,1020,0
71,1735,en,High,Medium,Released,5.2,Adventure Action Fantasy,en,The Mummy: Tomb of the Dragon Emperor,60.034162,112.0,"en,zh,sa",The Mummy: Tomb of the Dragon Emperor,1387,0
72,297761,en,High,Long,Released,5.9,Action Adventure Crime Fantasy Science Fiction,en,Suicide Squad,90.23792,123.0,en,Suicide Squad,7458,1
73,2698,en,Medium,Medium,Released,5.3,Fantasy Comedy Family,en,Evan Almighty,27.082182,96.0,en,Evan Almighty,1151,0
74,137113,en,High,Medium,Released,7.6,Action Science Fiction,en,Edge of Tomorrow,79.456485,113.0,en,Edge of Tomorrow,4858,2
75,9804,en,High,Long,Released,5.9,Adventure Action,en,Waterworld,44.640292,135.0,"en,de,es",Waterworld,992,0
76,14869,en,High,Medium,Released,5.6,Adventure Action Thriller Science Fiction,en,G.I. Joe: The Rise of Cobra,32.852443,118.0,"en,fr,gd",G.I. Joe: The Rise of Cobra,1962,0
77,150540,en,High,Medium,Released,8.0,Drama Comedy Animation Family,en,Inside Out,128.65596399999998,94.0,en,Inside Out,6560,2
78,278927,en,High,Medium,Released,6.7,Family Adventure Drama Fantasy,en,The Jungle Book,94.199316,106.0,en,The Jungle Book,2892,4
79,10138,en,High,Long,Released,6.6,Adventure Action Science Fiction,en,Iron Man 2,77.30019399999998,124.0,"en,ru,fr",Iron Man 2,6849,0
80,58595,en,High,Long,Released,5.8,Adventure Fantasy Drama,en,Snow White and the Huntsman,77.178973,127.0,en,Snow White and the Huntsman,3118,3
81,102651,en,High,Medium,Released,7.0,Fantasy Adventure Action Family Romance,en,Maleficent,110.620647,97.0,en,Maleficent,4496,2
82,119450,en,High,Long,Released,7.3,Science Fiction Action Drama Thriller,en,Dawn of the Planet of the Apes,243.79174300000005,130.0,en,Dawn of the Planet of the Apes,4410,2
83,79698,en,Very Low,Medium,Released,4.8,Action Adventure Science Fiction Romance,en,The Lovers,2.418535,109.0,en,The Lovers,34,3
84,64686,en,High,Medium,Released,5.9,Drama Action Adventure Fantasy,en,47 Ronin,41.796339,119.0,"en,ja",47 Ronin,1326,3
85,100402,en,High,Long,Released,7.6,Action Adventure Science Fiction,en,Captain America: The Winter Soldier,72.22526500000002,136.0,en,Captain America: The Winter Soldier,5764,2
86,10192,en,High,Medium,Released,6.0,Comedy Adventure Fantasy Animation Family,en,Shrek Forever After,44.041186,93.0,en,Shrek Forever After,1959,0
87,158852,en,High,Long,Released,6.2,Adventure Family Mystery Science Fiction,en,Tomorrowland,130.311355,130.0,en,Tomorrowland,2846,2
88,177572,en,High,Medium,Released,7.8,Adventure Family Animation Action Comedy,en,Big Hero 6,203.73459,102.0,en,Big Hero 6,6135,2
89,82690,en,High,Medium,Released,7.1,Family Animation Comedy Adventure,en,Wreck-It Ralph,62.341073,108.0,en,Wreck-It Ralph,4570,3
90,5255,en,High,Medium,Released,6.4,Adventure Animation Family Fantasy,en,The Polar Express,47.323228,100.0,en,The Polar Express,1474,0
91,47933,en,High,Medium,Released,4.9,Action Adventure Science Fiction,en,Independence Day: Resurgence,48.775723,120.0,en,Independence Day: Resurgence,2491,3
92,10191,en,High,Medium,Released,7.5,Fantasy Adventure Animation Family,en,How to Train Your Dragon,67.263269,98.0,en,How to Train Your Dragon,4227,0
93,296,en,High,Medium,Released,5.9,Action Thriller Science Fiction,en,Terminator 3: Rise of the Machines,69.405188,109.0,en,Terminator 3: Rise of the Machines,2143,0
94,118340,en,High,Long,Released,7.9,Action Science Fiction Adventure,en,Guardians of the Galaxy,481.098624,121.0,en,Guardians of the Galaxy,9742,2
95,157336,en,High,Long,Released,8.1,Adventure Drama Science Fiction,en,Interstellar,724.247784,169.0,en,Interstellar,10867,2
96,27205,en,High,Long,Released,8.1,Action Thriller Science Fiction Mystery Adventure,en,Inception,167.58371,148.0,"en,ja,fr",Inception,13752,0
97,315011,Others,Low,Medium,Released,6.5,Action Adventure Drama Horror Science Fiction,ja,シン・ゴジラ,9.476999,120.0,"it,de,en,ja",Shin Godzilla,143,1
98,49051,en,High,Long,Released,7.0,Adventure Fantasy Action,en,The Hobbit: An Unexpected Journey,108.849621,169.0,en,The Hobbit: An Unexpected Journey,8297,3
99,9799,en,Low,Medium,Released,6.6,Action Crime Thriller,en,The Fast and the Furious,6.909942,106.0,en,The Fast and the Furious,3428,0
100,4922,en,High,Long,Released,7.3,Fantasy Drama Thriller Mystery Romance,en,The Curious Case of Benjamin Button,60.269279,166.0,en,The Curious Case of Benjamin Button,3292,0
101,49538,en,Very Low,Long,Released,7.1,Action Science Fiction Adventure,en,X-Men: First Class,3.195174,132.0,"de,en,es,fr,ru",X-Men: First Class,5181,3
102,131634,en,High,Long,Released,6.6,Action Adventure Science Fiction,en,The Hunger Games: Mockingjay - Part 2,127.284427,137.0,en,The Hunger Games: Mockingjay - Part 2,3984,2
103,27022,en,High,Medium,Released,5.8,Fantasy Adventure Action Comedy Drama,en,The Sorcerer's Apprentice,35.580815,109.0,en,The Sorcerer's Apprentice,1470,0
104,503,en,Medium,Medium,Released,5.5,Adventure Action Drama Thriller,en,Poseidon,21.133748,99.0,"en,es",Poseidon,583,0
105,241259,en,High,Medium,Released,6.5,Fantasy,en,Alice Through the Looking Glass,56.268916,113.0,en,Alice Through the Looking Glass,1725,4
106,810,en,High,Medium,Released,6.0,Fantasy Adventure Animation Comedy Family,en,Shrek the Third,42.986467,93.0,fr,Shrek the Third,2278,0
107,68735,en,High,Long,Released,6.3,Action Adventure Fantasy,en,Warcraft,63.148529,123.0,en,Warcraft,2268,3
108,87101,en,High,Long,Released,5.8,Science Fiction Action Thriller Adventure,en,Terminator Genisys,202.042635,126.0,en,Terminator Genisys,3631,3
109,10140,en,High,Medium,Released,6.2,Adventure Family Fantasy,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,113.0,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,1514,0
110,676,en,High,Long,Released,6.6,History Romance War,en,Pearl Harbor,34.20669,183.0,"fr,en,ja",Pearl Harbor,1791,0
111,1858,en,Medium,Long,Released,6.6,Adventure Science Fiction Action,en,Transformers,25.468493,144.0,"es,en",Transformers,4040,0
112,1966,en,High,Long,Released,5.6,War History Action Adventure Drama,en,Alexander,39.019229,175.0,en,Alexander,927,0
113,675,en,High,Long,Released,7.4,Adventure Fantasy Family Mystery,en,Harry Potter and the Order of the Phoenix,78.14439499999997,138.0,en,Harry Potter and the Order of the Phoenix,5494,0
114,674,en,High,Long,Released,7.5,Adventure Fantasy Family,en,Harry Potter and the Goblet of Fire,101.250416,157.0,"en,fr",Harry Potter and the Goblet of Fire,5608,0
115,8960,en,High,Medium,Released,6.2,Fantasy Action,en,Hancock,56.758411,92.0,"en,ja",Hancock,2961,0
116,6479,en,High,Medium,Released,6.9,Drama Horror Action Thriller Science Fiction,en,I Am Legend,70.867401,101.0,en,I Am Legend,4853,0
117,118,en,High,Medium,Released,6.7,Adventure Comedy Family Fantasy,en,Charlie and the Chocolate Factory,53.90559200000001,115.0,en,Charlie and the Chocolate Factory,3624,0
118,2062,en,High,Medium,Released,7.5,Animation Comedy Family Fantasy,en,Ratatouille,65.677399,111.0,en,Ratatouille,4369,0
119,272,en,High,Long,Released,7.5,Action Crime Drama,en,Batman Begins,115.040024,140.0,"en,ur,zh",Batman Begins,7359,0
120,10527,en,High,Short,Released,6.2,Family Animation,en,Madagascar: Escape 2 Africa,44.141021,89.0,"en,it,th",Madagascar: Escape 2 Africa,1810,0
121,18360,en,High,Medium,Released,5.9,Adventure Fantasy Action Comedy Family,en,Night at the Museum: Battle of the Smithsonian,81.781591,105.0,en,Night at the Museum: Battle of the Smithsonian,1971,0
122,2080,en,Low,Medium,Released,6.2,Adventure Action Thriller Science Fiction,en,X-Men Origins: Wolverine,5.954333999999999,107.0,en,X-Men Origins: Wolverine,4021,0
123,605,en,High,Long,Released,6.4,Adventure Action Thriller Science Fiction,en,The Matrix Revolutions,73.313918,129.0,"en,fr",The Matrix Revolutions,3096,0
124,109445,en,High,Medium,Released,7.3,Animation Adventure Family,en,Frozen,165.125366,102.0,en,Frozen,5295,2
125,604,en,High,Long,Released,6.7,Adventure Action Thriller Science Fiction,en,The Matrix Reloaded,70.78591,138.0,en,The Matrix Reloaded,3443,0
126,76338,en,High,Medium,Released,6.8,Action Adventure Fantasy,en,Thor: The Dark World,99.499595,112.0,en,Thor: The Dark World,4755,3
127,76341,en,High,Medium,Released,7.2,Action Adventure Science Fiction Thriller,en,Mad Max: Fury Road,434.278564,120.0,en,Mad Max: Fury Road,9427,3
128,13448,en,High,Long,Released,6.5,Thriller Mystery,en,Angels & Demons,67.447636,138.0,"en,it,la,fr,de,zh",Angels & Demons,2129,0
129,10195,en,High,Medium,Released,6.6,Adventure Fantasy Action,en,Thor,86.493424,115.0,en,Thor,6525,0
130,13053,en,High,Medium,Released,6.3,Animation Family Adventure Comedy,en,Bolt,41.845878000000006,98.0,en,Bolt,1750,0
131,19585,en,Medium,Short,Released,5.1,Fantasy Action Adventure Family Comedy,en,G-Force,26.710398,88.0,en,G-Force,510,0
132,57165,en,High,Medium,Released,5.5,Adventure,en,Wrath of the Titans,44.927635,99.0,en,Wrath of the Titans,1431,3
133,62213,en,High,Medium,Released,5.7,Comedy Fantasy,en,Dark Shadows,50.306728,113.0,en,Dark Shadows,2320,3
134,177677,en,High,Long,Released,7.1,Action Adventure Thriller,en,Mission: Impossible - Rogue Nation,114.52223700000002,131.0,"de,en,sv",Mission: Impossible - Rogue Nation,3224,2
135,7978,en,Medium,Medium,Released,5.5,Drama Horror Thriller,en,The Wolfman,21.214571,102.0,en,The Wolfman,549,0
136,5559,en,High,Medium,Released,5.7,Family Animation Adventure Comedy,en,Bee Movie,29.332905,91.0,en,Bee Movie,1171,0
137,49444,en,High,Medium,Released,6.7,Animation Family,en,Kung Fu Panda 2,51.247321,91.0,en,Kung Fu Panda 2,1880,3
138,10196,en,High,Medium,Released,4.7,Action Adventure Family Fantasy,en,The Last Airbender,33.769336,103.0,en,The Last Airbender,1151,0
139,956,en,High,Long,Released,6.5,Adventure Action Thriller,en,Mission: Impossible III,63.079003,126.0,"de,en,it,zh,cs,cn",Mission: Impossible III,2028,0
140,117251,en,High,Long,Released,6.4,Action Drama Thriller,en,White House Down,39.004588,131.0,en,White House Down,1891,2
141,50321,en,Low,Short,Released,5.5,Adventure Animation Family,en,Mars Needs Moms,12.362599,88.0,en,Mars Needs Moms,199,3
142,11619,en,Medium,Short,Released,6.0,Adventure Animation Comedy Family,en,Flushed Away,22.550135,85.0,en,Flushed Away,874,0
143,266647,en,High,Medium,Released,5.9,Adventure Family Fantasy,en,Pan,48.03528,111.0,en,Pan,954,4
144,82703,en,High,Medium,Released,6.7,Animation Adventure Family,en,Mr. Peabody & Sherman,38.73494,92.0,en,Mr. Peabody & Sherman,843,3
145,652,en,High,Long,Released,6.9,Adventure Drama War,en,Troy,66.803149,163.0,en,Troy,2759,0
146,80321,en,High,Medium,Released,6.4,Animation Family,en,Madagascar 3: Europe's Most Wanted,44.989192,93.0,"en,es,th",Madagascar 3: Europe's Most Wanted,1808,3
147,36669,en,High,Long,Released,5.8,Adventure Action Thriller,en,Die Another Day,54.159392,133.0,"en,ko,cn,de,es,is,it",Die Another Day,1092,3
148,43074,en,High,Medium,Released,5.3,Action Fantasy Comedy,en,Ghostbusters,66.21806,116.0,en,Ghostbusters,2142,3
149,95,en,High,Long,Released,6.4,Action Thriller Science Fiction Adventure,en,Armageddon,58.485967,151.0,"en,ru",Armageddon,2482,0
150,608,en,High,Short,Released,6.0,Action Adventure Comedy Science Fiction,en,Men in Black II,91.332849,88.0,en,Men in Black II,3114,0
151,2310,en,High,Medium,Released,5.5,Adventure Action Animation,en,Beowulf,35.60166500000001,115.0,en,Beowulf,841,0
152,140300,en,High,Medium,Released,6.7,Action Adventure Animation Comedy Family,en,Kung Fu Panda 3,56.747978,95.0,en,Kung Fu Panda 3,1603,2
153,56292,en,High,Long,Released,6.8,Action Thriller Adventure,en,Mission: Impossible - Ghost Protocol,77.77476999999998,133.0,"en,ru,fr,ar,sv",Mission: Impossible - Ghost Protocol,3972,3
154,81188,en,High,Medium,Released,7.1,Fantasy Animation Family,en,Rise of the Guardians,61.788035,97.0,"fr,en",Rise of the Guardians,1922,3
155,7552,en,Medium,Short,Released,5.9,Comedy,en,Fun with Dick and Jane,25.159168,90.0,en,Fun with Dick and Jane,627,0
156,616,en,High,Long,Released,7.3,Drama Action War History,en,The Last Samurai,52.341226,154.0,"en,ja",The Last Samurai,1895,0
157,147441,en,High,Long,Released,5.6,Adventure Drama Action,en,Exodus: Gods and Kings,101.599427,150.0,en,Exodus: Gods and Kings,1921,2
158,13475,en,High,Long,Released,7.4,Science Fiction Action Adventure,en,Star Trek,73.61680799999998,127.0,en,Star Trek,4518,0
159,557,en,High,Long,Released,6.8,Fantasy Action,en,Spider-Man,82.502566,121.0,en,Spider-Man,5265,0
160,82702,en,High,Medium,Released,7.6,Fantasy Action Adventure Animation Comedy,en,How to Train Your Dragon 2,100.21391,102.0,en,How to Train Your Dragon 2,3106,3
161,205584,en,High,Long,Released,5.3,Fantasy,en,Gods of Egypt,56.257249,127.0,en,Gods of Egypt,1277,4
162,10048,en,Medium,Long,Released,4.9,Action,en,Stealth,17.88953,121.0,"en,de,ko,ru,es",Stealth,331,0
163,13183,en,High,Long,Released,7.0,Action Mystery Science Fiction,en,Watchmen,64.798873,163.0,en,Watchmen,2811,0
164,944,en,Medium,Long,Released,6.3,Action Adventure Comedy Crime Thriller,en,Lethal Weapon 4,24.855701,127.0,"en,cn,zh",Lethal Weapon 4,767,0
165,1927,en,High,Long,Released,5.3,Drama Action Science Fiction,en,Hulk,34.981698,138.0,"en,es",Hulk,1533,0
166,72559,en,High,Medium,Released,5.4,Adventure Action Science Fiction Thriller,en,G.I. Joe: Retaliation,59.325589,110.0,en,G.I. Joe: Retaliation,3025,3
167,7364,en,Medium,Long,Released,5.7,Action Adventure Comedy Drama Mystery,en,Sahara,21.605568,124.0,"en,fr,ar",Sahara,434,0
168,2114,en,Medium,Medium,Released,5.9,Adventure Action Animation Fantasy Science Fiction,en,Final Fantasy: The Spirits Within,26.074908,106.0,en,Final Fantasy: The Spirits Within,433,0
169,1771,en,High,Long,Released,6.6,Action Adventure Science Fiction,en,Captain America: The First Avenger,74.50624599999998,124.0,"fr,no,en",Captain America: The First Avenger,7047,0
170,36643,en,High,Long,Released,6.0,Adventure Action Thriller,en,The World Is Not Enough,39.604363,128.0,"en,ru",The World Is Not Enough,862,3
171,8619,en,High,Long,Released,6.9,Adventure,en,Master and Commander: The Far Side of the World,36.973031,138.0,"fr,pt,en",Master and Commander: The Far Side of the World,790,0
172,50620,en,High,Medium,Released,6.1,Adventure Fantasy Drama Romance,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,115.0,en,The Twilight Saga: Breaking Dawn - Part 2,2553,3
173,65759,en,Medium,Medium,Released,5.8,Animation Comedy Family,en,Happy Feet Two,17.7735,100.0,en,Happy Feet Two,373,3
174,1724,en,High,Medium,Released,6.1,Science Fiction Action Adventure,en,The Incredible Hulk,62.898336,114.0,"pt,es,en",The Incredible Hulk,3021,0
175,267935,en,High,Medium,Released,6.0,Adventure Family Fantasy,en,The BFG,44.19092,120.0,en,The BFG,1000,4
176,281957,en,High,Long,Released,7.3,Western Drama Adventure Thriller,en,The Revenant,100.635882,156.0,"en,fr",The Revenant,6396,1
177,77950,en,High,Medium,Released,6.1,Animation Family,en,Turbo,44.765377,96.0,en,Turbo,1074,3
178,44896,en,High,Medium,Released,6.6,Animation Comedy Family Western Adventure,en,Rango,29.91353,107.0,en,Rango,2051,3
179,270946,en,High,Medium,Released,6.5,Family Animation Adventure Comedy,en,Penguins of Madagascar,84.366984,92.0,en,Penguins of Madagascar,1346,4
180,2503,en,High,Medium,Released,7.3,Action Drama Mystery Thriller,en,The Bourne Ultimatum,45.381501,115.0,"en,fr,ar,ru,es",The Bourne Ultimatum,2888,0
181,9502,en,High,Short,Released,6.9,Adventure Animation Family Comedy,en,Kung Fu Panda,84.68964799999998,90.0,en,Kung Fu Panda,3145,0
182,102899,en,High,Medium,Released,7.0,Science Fiction Action Adventure,en,Ant-Man,120.09361,117.0,en,Ant-Man,5880,2
183,101299,en,High,Long,Released,7.4,Adventure Action Science Fiction,en,The Hunger Games: Catching Fire,76.310119,146.0,en,The Hunger Games: Catching Fire,6495,2
184,228161,en,High,Medium,Released,6.8,Fantasy Comedy Animation Science Fiction Family,en,Home,63.473086,94.0,en,Home,1519,4
185,74,en,High,Medium,Released,6.2,Adventure Thriller Science Fiction,en,War of the Worlds,48.572726,116.0,en,War of the Worlds,2322,0
186,8961,en,High,Long,Released,6.3,Adventure Action Comedy Thriller Crime,en,Bad Boys II,38.068736,147.0,"en,es",Bad Boys II,1564,0
187,417859,en,Medium,Short,Released,6.4,Action Adventure Animation Family Fantasy,en,Puss in Boots,20.678787,90.0,"es,en",Puss in Boots,451,1
188,27576,en,High,Medium,Released,6.2,Action Mystery Thriller,en,Salt,48.829437,100.0,"en,ru,ko",Salt,2093,0
189,86834,en,High,Long,Released,5.6,Drama Adventure,en,Noah,46.115758,139.0,en,Noah,2350,3
